mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_init,param_max_iter,param_n_clusters,param_n_init,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12681937217712402,0.05765917668538841,0.001001596450805664,1.8570139321562326e-06,random,300,6,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 6, 'n_init': 20}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.0649260679880778,0.02690958988070337,0.003240187962849935,0.0024252188919560705,random,300,7,10,"{'init': 'random', 'max_iter': 300, 'n_clusters': 7, 'n_init': 10}",-165.4716043528794,-68.8244996810058,-165.20068475549974,-133.16559626312832,45.496160141265946,7
0.1708227793375651,0.0441503408443516,0.003711541493733724,0.0012086336233495573,random,300,7,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 7, 'n_init': 20}",-165.16307862318993,-68.8244996810058,-165.20068475549974,-133.06275435323184,45.42330808484137,5
0.06201648712158203,0.020817036885655747,0.0015246868133544922,0.0007207221580055738,random,500,3,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3, 'n_init': 10}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.1313649813334147,0.03513817357305372,0.0027147928873697915,0.0014475078761430674,random,500,3,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3, 'n_init': 20}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.04296573003133138,0.013532399589122258,0.0011053085327148438,0.0008288854528480438,random,500,4,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4, 'n_init': 10}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.07706745465596516,0.009462444100328253,0.0014513333638509114,0.000420946860124279,random,500,4,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4, 'n_init': 20}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.07976063092549641,0.008245766861404796,0.002713759740193685,0.0024247367928508907,random,500,5,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 5, 'n_init': 10}",-190.27967591327857,-86.55061598938805,-253.0589584615854,-176.62975012141735,68.6585628736,17
0.13196937243143717,0.04011818155665301,0.004274924596150716,0.002208141875532959,random,500,5,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 5, 'n_init': 20}",-190.27967591327857,-86.55061598938805,-253.0589584615854,-176.62975012141735,68.6585628736,17
0.041684865951538086,0.008278337012968791,0.0015248457590738933,0.0003989720720288786,random,500,6,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 6, 'n_init': 10}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.13426979382832846,0.04616125475690167,0.0011748472849527996,0.00024003192959520212,random,500,6,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 6, 'n_init': 20}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.07249919573465984,0.020554278007912586,0.0010101000467936199,0.00040720861887420275,random,500,7,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 7, 'n_init': 10}",-165.4716043528794,-68.8244996810058,-165.20068475549974,-133.16559626312832,45.496160141265946,7
0.09644842147827148,0.012244347983200453,0.0020324389139811196,0.0006845982741338873,random,500,7,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 7, 'n_init': 20}",-165.16307862318993,-68.8244996810058,-165.20068475549974,-133.06275435323184,45.42330808484137,5
